,ID,Captain,Vice Captain,Player 3,Player 4,Player 5,Player 6,Player 7
5/30/2021 1:18:19,7401,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pushpak  Creds: 55  Team: guddu,gaurav  Creds: 200  Team: bablu,shubham  Creds: 35  Team: bablu,vedant  Creds: 100  Team: bablu,shreyansh  Creds: 65  Team: guddu
5/30/2021 1:27:06,7401,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pushpak  Creds: 55  Team: guddu,gaurav  Creds: 200  Team: bablu,shubham  Creds: 35  Team: bablu,vedant  Creds: 100  Team: bablu,shreyansh  Creds: 65  Team: guddu
5/30/2021 1:30:25,7401,shivam  Creds: 250  Team: guddu,ankit  Creds: 250  Team: bablu,shubham  Creds: 35  Team: bablu,pratham  Creds: 45  Team: guddu,krishna  Creds: 160  Team: guddu,pushpak  Creds: 55  Team: guddu,vedant  Creds: 100  Team: bablu
5/30/2021 1:59:16,7401,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pratham  Creds: 45  Team: guddu,gaurav  Creds: 200  Team: bablu,shubham  Creds: 35  Team: bablu,naitik  Creds: 150  Team: bablu,tanay  Creds: 25  Team: bablu
5/30/2021 2:59:16,7400,ankit  Creds: 250  Team: bablu,harshit  Creds: 190  Team: guddu,gaurav  Creds: 200  Team: bablu,naitik  Creds: 150  Team: bablu,pratham  Creds: 45  Team: guddu,shubham  Creds: 35  Team: bablu,akhil  Creds: 20  Team: guddu
5/30/2021 10:45:48,7403,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pratham  Creds: 45  Team: guddu,vedant  Creds: 100  Team: bablu,shubham  Creds: 35  Team: bablu,ankit  Creds: 250  Team: bablu,tanay  Creds: 25  Team: bablu
5/30/2021 11:45:57,7404,shivam  Creds: 250  Team: guddu,gaurav  Creds: 200  Team: bablu,harshit  Creds: 190  Team: guddu,shreyansh  Creds: 65  Team: guddu,vedant  Creds: 100  Team: bablu,pratham  Creds: 45  Team: guddu,shubham  Creds: 35  Team: bablu
5/30/2021 12:30:24,7406,shivam  Creds: 250  Team: guddu,gaurav  Creds: 200  Team: bablu,pratham  Creds: 45  Team: guddu,shubham  Creds: 35  Team: bablu,harshit  Creds: 190  Team: guddu,naitik  Creds: 150  Team: bablu,akhil  Creds: 20  Team: guddu
5/30/2021 12:32:26,7402,shivam  Creds: 250  Team: guddu,naitik  Creds: 150  Team: bablu,pushpak  Creds: 55  Team: guddu,pratham  Creds: 45  Team: guddu,ankit  Creds: 250  Team: bablu,shubham  Creds: 35  Team: bablu,adarsh  Creds: 90  Team: bablu
5/30/2021 12:39:45,7048,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pratham  Creds: 45  Team: guddu,ankit  Creds: 250  Team: bablu,pushpak  Creds: 55  Team: guddu,tanay  Creds: 25  Team: bablu,shubham  Creds: 35  Team: bablu
5/30/2021 12:45:27,7405,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pratham  Creds: 45  Team: guddu,adarsh  Creds: 90  Team: bablu,gaurav  Creds: 200  Team: bablu,shubham  Creds: 35  Team: bablu,shreyansh  Creds: 65  Team: guddu
5/30/2021 12:50:00,7408,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,pratham  Creds: 45  Team: guddu,ankit  Creds: 250  Team: bablu,pushpak  Creds: 55  Team: guddu,tanay  Creds: 25  Team: bablu,shubham  Creds: 35  Team: bablu
5/30/2021 13:01:09,7407,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,ankit  Creds: 250  Team: bablu,tanay  Creds: 25  Team: bablu,shubham  Creds: 35  Team: bablu,pratham  Creds: 45  Team: guddu,vedant  Creds: 100  Team: bablu
5/30/2021 13:09:19,7402,shivam  Creds: 250  Team: guddu,harshit  Creds: 190  Team: guddu,naitik  Creds: 150  Team: bablu,pushpak  Creds: 55  Team: guddu,akhil  Creds: 20  Team: guddu,gaurav  Creds: 200  Team: bablu,shubham  Creds: 35  Team: bablu
5/30/2021 13:09:35,7409,shreyansh  Creds: 65  Team: guddu,gaurav  Creds: 200  Team: bablu,shreyansh  Creds: 65  Team: guddu,pratham  Creds: 45  Team: guddu,harshit  Creds: 190  Team: guddu,vedant  Creds: 100  Team: bablu,shubham  Creds: 35  Team: bablu
5/30/2021 13:10:06,8888,gaurav  Creds: 200  Team: bablu,harshit  Creds: 190  Team: guddu,krishna  Creds: 160  Team: guddu,pratham  Creds: 45  Team: guddu,vedant  Creds: 100  Team: bablu,pushpak  Creds: 55  Team: guddu,naitik  Creds: 150  Team: bablu
5/30/2021 13:11:51,7777,shivam  Creds: 250  Team: guddu,gaurav  Creds: 200  Team: bablu,pushpak  Creds: 55  Team: guddu,pratham  Creds: 45  Team: guddu,adarsh  Creds: 90  Team: bablu,naitik  Creds: 150  Team: bablu,vedant  Creds: 100  Team: bablu
5/30/2021 13:17:25,7777,shivam  Creds: 250  Team: guddu,gaurav  Creds: 200  Team: bablu,pushpak  Creds: 55  Team: guddu,pratham  Creds: 45  Team: guddu,adarsh  Creds: 90  Team: bablu,naitik  Creds: 150  Team: bablu,vedant  Creds: 100  Team: bablu
5/30/2021 13:20:42,7409,shivam  Creds: 250  Team: guddu,gaurav  Creds: 200  Team: bablu,pratham  Creds: 45  Team: guddu,shubham  Creds: 35  Team: bablu,harshit  Creds: 190  Team: guddu,vedant  Creds: 100  Team: bablu,shreyansh  Creds: 65  Team: guddu
